price,quantity,order_month,order_day,order_hour,shipping_delay_days,Cluster,Segment_Label
389.15,3,4,21,14,4,0,High-Value Customers (Delayed Shipping)
498.02,1,4,21,14,4,0,High-Value Customers (Delayed Shipping)
133.66,1,4,21,14,2,4,Mid-Value Fast Delivery Customers
385.3,2,4,21,14,4,0,High-Value Customers (Delayed Shipping)
144.89,6,4,21,14,2,8,Heavy Bulk Buyers
484.43,4,4,21,14,1,6,High-Value Fast Delivery Customers
417.66,2,4,21,14,2,6,High-Value Fast Delivery Customers
195.31,3,4,21,14,4,4,Mid-Value Fast Delivery Customers
73.35,2,4,21,14,1,4,Mid-Value Fast Delivery Customers
459.02,2,4,21,14,7,0,High-Value Customers (Delayed Shipping)
106.85,1,4,21,14,2,4,Mid-Value Fast Delivery Customers
315.37,3,4,21,14,4,0,High-Value Customers (Delayed Shipping)
276.18,3,4,21,14,2,4,Mid-Value Fast Delivery Customers
155.57,1,4,21,14,1,4,Mid-Value Fast Delivery Customers
288.41,3,4,21,14,1,4,Mid-Value Fast Delivery Customers
286.85,2,4,21,14,1,4,Mid-Value Fast Delivery Customers
422.03,3,4,21,14,2,6,High-Value Fast Delivery Customers
241.83,4,4,21,14,3,8,Heavy Bulk Buyers
362.08,2,4,21,14,1,6,High-Value Fast Delivery Customers
496.82,2,4,21,14,6,0,High-Value Customers (Delayed Shipping)
116.35,1,4,21,14,6,3,Low-Value Late-Season Buyers
263.78,2,4,21,14,4,0,High-Value Customers (Delayed Shipping)
361.63,3,4,21,14,7,0,High-Value Customers (Delayed Shipping)
253.4,4,4,21,14,6,8,Heavy Bulk Buyers
313.22,1,4,21,14,3,4,Mid-Value Fast Delivery Customers
157.61,3,4,22,14,4,4,Mid-Value Fast Delivery Customers
224.16,1,4,22,14,4,4,Mid-Value Fast Delivery Customers
189.2,1,4,22,14,5,0,High-Value Customers (Delayed Shipping)
198.57,4,4,22,14,6,8,Heavy Bulk Buyers
159.96,4,4,22,14,3,8,Heavy Bulk Buyers
387.29,2,4,22,14,4,0,High-Value Customers (Delayed Shipping)
269.95,3,4,22,14,3,4,Mid-Value Fast Delivery Customers
278.41,2,4,22,14,5,0,High-Value Customers (Delayed Shipping)
437.21,1,4,22,14,6,0,High-Value Customers (Delayed Shipping)
150.49,2,4,22,14,5,4,Mid-Value Fast Delivery Customers
451.94,1,4,22,14,2,6,High-Value Fast Delivery Customers
201.22,1,4,22,14,1,4,Mid-Value Fast Delivery Customers
375.78,2,4,22,14,7,0,High-Value Customers (Delayed Shipping)
105.49,1,4,22,14,4,4,Mid-Value Fast Delivery Customers
311.83,1,4,22,14,6,0,High-Value Customers (Delayed Shipping)
164.69,1,4,22,14,7,0,High-Value Customers (Delayed Shipping)
341.38,3,4,22,14,2,4,Mid-Value Fast Delivery Customers
474.66,1,4,22,14,2,6,High-Value Fast Delivery Customers
219.4,1,4,22,14,3,4,Mid-Value Fast Delivery Customers
39.43,1,4,22,14,2,4,Mid-Value Fast Delivery Customers
365.79,3,4,22,14,5,0,High-Value Customers (Delayed Shipping)
153.26,1,4,22,14,4,4,Mid-Value Fast Delivery Customers
71.87,3,4,22,14,7,3,Low-Value Late-Season Buyers
162.69,1,4,22,14,2,4,Mid-Value Fast Delivery Customers
490.26,1,4,22,14,4,0,High-Value Customers (Delayed Shipping)
93.74,4,4,22,14,3,8,Heavy Bulk Buyers
197.88,1,4,22,14,3,4,Mid-Value Fast Delivery Customers
24.96,3,4,22,14,3,4,Mid-Value Fast Delivery Customers
66.04,3,4,22,14,5,4,Mid-Value Fast Delivery Customers
164.94,2,4,22,14,7,0,High-Value Customers (Delayed Shipping)
23.34,2,4,22,14,5,4,Mid-Value Fast Delivery Customers
225.2,3,4,22,14,7,0,High-Value Customers (Delayed Shipping)
138.59,3,4,22,14,4,4,Mid-Value Fast Delivery Customers
135.03,4,4,22,14,2,8,Heavy Bulk Buyers
91.87,5,4,22,14,6,8,Heavy Bulk Buyers
152.32,1,4,22,14,5,4,Mid-Value Fast Delivery Customers
329.5,1,4,22,14,4,0,High-Value Customers (Delayed Shipping)
196.53,4,4,22,14,5,8,Heavy Bulk Buyers
386.49,2,4,22,14,3,0,High-Value Customers (Delayed Shipping)
56.32,1,4,23,14,6,3,Low-Value Late-Season Buyers
63.13,1,4,23,14,4,4,Mid-Value Fast Delivery Customers
51.48,2,4,23,14,6,3,Low-Value Late-Season Buyers
391.54,2,4,23,14,4,0,High-Value Customers (Delayed Shipping)
259.36,1,4,23,14,4,4,Mid-Value Fast Delivery Customers
378.27,3,4,23,14,6,0,High-Value Customers (Delayed Shipping)
107.48,3,4,23,14,3,4,Mid-Value Fast Delivery Customers
499.9,2,4,23,14,7,0,High-Value Customers (Delayed Shipping)
297.48,1,4,23,14,7,0,High-Value Customers (Delayed Shipping)
245.69,3,4,23,14,4,4,Mid-Value Fast Delivery Customers
98.14,1,4,23,14,7,3,Low-Value Late-Season Buyers
49.49,2,4,23,14,4,4,Mid-Value Fast Delivery Customers
45.26,1,4,23,14,4,4,Mid-Value Fast Delivery Customers
67.61,2,4,23,14,4,4,Mid-Value Fast Delivery Customers
471.53,2,4,23,14,3,0,High-Value Customers (Delayed Shipping)
60.33,4,4,23,14,4,8,Heavy Bulk Buyers
330.9,2,4,23,14,2,4,Mid-Value Fast Delivery Customers
143.32,2,4,23,14,2,4,Mid-Value Fast Delivery Customers
494.51,1,4,23,14,7,0,High-Value Customers (Delayed Shipping)
203.22,2,4,23,14,1,4,Mid-Value Fast Delivery Customers
284.78,3,4,23,14,5,0,High-Value Customers (Delayed Shipping)
79.93,3,4,23,14,7,3,Low-Value Late-Season Buyers
289.25,3,4,23,14,1,4,Mid-Value Fast Delivery Customers
216.6,1,4,24,14,4,4,Mid-Value Fast Delivery Customers
135.83,2,4,24,14,1,4,Mid-Value Fast Delivery Customers
15.13,1,4,24,14,4,4,Mid-Value Fast Delivery Customers
52.29,2,4,24,14,3,4,Mid-Value Fast Delivery Customers
169.93,3,4,24,14,7,0,High-Value Customers (Delayed Shipping)
316.19,1,4,24,14,3,4,Mid-Value Fast Delivery Customers
363.98,3,4,24,14,7,0,High-Value Customers (Delayed Shipping)
120.26,1,4,24,14,3,4,Mid-Value Fast Delivery Customers
292.71,1,4,24,14,2,4,Mid-Value Fast Delivery Customers
423.75,1,4,24,14,1,7,Premium Loyal Customers (Fast Shipping)
436.52,1,4,24,14,1,7,Premium Loyal Customers (Fast Shipping)
429.13,5,4,24,14,7,2,Bulk Buyers (High Quantity)
244.56,3,4,24,14,2,4,Mid-Value Fast Delivery Customers
89.94,4,4,24,14,2,8,Heavy Bulk Buyers
332.58,1,4,24,14,7,0,High-Value Customers (Delayed Shipping)
314.69,1,4,24,14,4,0,High-Value Customers (Delayed Shipping)
296.71,5,4,24,14,3,8,Heavy Bulk Buyers
359.67,1,4,24,14,6,0,High-Value Customers (Delayed Shipping)
474.62,1,4,24,14,7,0,High-Value Customers (Delayed Shipping)
408.76,4,4,24,14,4,8,Heavy Bulk Buyers
394.99,2,4,24,14,1,7,Premium Loyal Customers (Fast Shipping)
334.74,3,4,24,14,6,0,High-Value Customers (Delayed Shipping)
374.04,1,4,24,14,3,0,High-Value Customers (Delayed Shipping)
126.51,1,4,24,14,4,4,Mid-Value Fast Delivery Customers
209.54,2,4,24,14,4,4,Mid-Value Fast Delivery Customers
383.97,3,4,24,14,6,0,High-Value Customers (Delayed Shipping)
211.49,4,4,24,14,1,8,Heavy Bulk Buyers
96.12,2,4,24,14,2,4,Mid-Value Fast Delivery Customers
79.22,2,4,24,14,4,4,Mid-Value Fast Delivery Customers
405.57,1,4,25,14,7,0,High-Value Customers (Delayed Shipping)
429.6,4,4,25,14,6,0,High-Value Customers (Delayed Shipping)
337.61,2,4,25,14,6,0,High-Value Customers (Delayed Shipping)
151.11,4,4,25,14,6,8,Heavy Bulk Buyers
192.02,2,4,25,14,1,4,Mid-Value Fast Delivery Customers
74.59,1,4,25,14,6,3,Low-Value Late-Season Buyers
342.64,4,4,25,14,4,8,Heavy Bulk Buyers
169.93,1,4,25,14,7,0,High-Value Customers (Delayed Shipping)
200.68,3,4,25,14,2,4,Mid-Value Fast Delivery Customers
331.34,1,4,25,14,4,0,High-Value Customers (Delayed Shipping)
289.34,3,4,25,14,5,0,High-Value Customers (Delayed Shipping)
6.49,3,4,25,14,4,4,Mid-Value Fast Delivery Customers
139.81,4,4,25,14,7,8,Heavy Bulk Buyers
229.5,1,4,25,14,6,0,High-Value Customers (Delayed Shipping)
492.39,1,4,25,14,5,0,High-Value Customers (Delayed Shipping)
131.34,1,4,25,14,7,3,Low-Value Late-Season Buyers
270.33,2,4,25,14,5,0,High-Value Customers (Delayed Shipping)
122.03,1,4,25,14,5,4,Mid-Value Fast Delivery Customers
45.47,5,4,25,14,5,8,Heavy Bulk Buyers
184.17,1,4,25,14,1,4,Mid-Value Fast Delivery Customers
153.96,1,4,25,14,1,4,Mid-Value Fast Delivery Customers
105.16,1,4,25,14,4,4,Mid-Value Fast Delivery Customers
306.34,3,4,25,14,4,0,High-Value Customers (Delayed Shipping)
157.24,1,4,25,14,6,0,High-Value Customers (Delayed Shipping)
314.18,3,4,25,14,1,4,Mid-Value Fast Delivery Customers
157.39,1,4,25,14,1,4,Mid-Value Fast Delivery Customers
300.91,2,4,25,14,1,4,Mid-Value Fast Delivery Customers
243.79,2,4,25,14,2,4,Mid-Value Fast Delivery Customers
86.78,1,4,25,14,7,3,Low-Value Late-Season Buyers
325.97,3,4,25,14,3,4,Mid-Value Fast Delivery Customers
11.92,2,4,25,14,7,3,Low-Value Late-Season Buyers
336.74,5,4,25,14,7,8,Heavy Bulk Buyers
333.17,2,4,26,14,3,4,Mid-Value Fast Delivery Customers
278.81,1,4,26,14,1,4,Mid-Value Fast Delivery Customers
207.01,1,4,26,14,1,4,Mid-Value Fast Delivery Customers
123.74,2,4,26,14,2,4,Mid-Value Fast Delivery Customers
333.32,1,4,26,14,2,4,Mid-Value Fast Delivery Customers
228.71,3,4,26,14,6,0,High-Value Customers (Delayed Shipping)
485.65,1,4,26,14,2,7,Premium Loyal Customers (Fast Shipping)
460.32,2,4,26,14,7,0,High-Value Customers (Delayed Shipping)
223.43,2,4,26,14,2,4,Mid-Value Fast Delivery Customers
292.87,1,4,26,14,1,4,Mid-Value Fast Delivery Customers
74.5,3,4,26,14,4,4,Mid-Value Fast Delivery Customers
423.24,7,4,26,14,6,8,Heavy Bulk Buyers
51.86,1,4,26,14,3,4,Mid-Value Fast Delivery Customers
371.08,1,4,26,14,3,0,High-Value Customers (Delayed Shipping)
67.86,4,4,26,14,1,8,Heavy Bulk Buyers
305.13,2,4,26,14,3,4,Mid-Value Fast Delivery Customers
39.26,3,4,26,14,5,4,Mid-Value Fast Delivery Customers
242.05,2,4,26,14,6,0,High-Value Customers (Delayed Shipping)
294.1,3,4,26,14,7,0,High-Value Customers (Delayed Shipping)
362.04,1,4,26,14,3,0,High-Value Customers (Delayed Shipping)
409.43,1,4,26,14,5,0,High-Value Customers (Delayed Shipping)
76.09,1,4,26,14,5,4,Mid-Value Fast Delivery Customers
57.56,2,4,26,14,3,4,Mid-Value Fast Delivery Customers
321.27,2,4,26,14,2,4,Mid-Value Fast Delivery Customers
157.93,1,4,26,14,3,4,Mid-Value Fast Delivery Customers
420.56,4,4,26,14,3,8,Heavy Bulk Buyers
457.44,1,4,26,14,7,0,High-Value Customers (Delayed Shipping)
476.47,3,4,26,14,2,7,Premium Loyal Customers (Fast Shipping)
341.9,1,4,26,14,2,4,Mid-Value Fast Delivery Customers
493.89,1,4,26,14,5,0,High-Value Customers (Delayed Shipping)
182.6,4,4,26,14,1,8,Heavy Bulk Buyers
266.0,4,4,26,14,3,8,Heavy Bulk Buyers
90.47,1,4,26,14,4,4,Mid-Value Fast Delivery Customers
35.88,1,4,26,14,6,3,Low-Value Late-Season Buyers
440.96,2,4,26,14,3,0,High-Value Customers (Delayed Shipping)
108.04,2,4,26,14,7,3,Low-Value Late-Season Buyers
478.78,1,4,26,14,2,7,Premium Loyal Customers (Fast Shipping)
147.89,2,4,26,14,3,4,Mid-Value Fast Delivery Customers
42.1,3,4,27,14,5,4,Mid-Value Fast Delivery Customers
216.97,1,4,27,14,4,4,Mid-Value Fast Delivery Customers
76.06,1,4,27,14,7,3,Low-Value Late-Season Buyers
390.99,1,4,27,14,7,0,High-Value Customers (Delayed Shipping)
54.23,3,4,27,14,2,4,Mid-Value Fast Delivery Customers
302.92,1,4,27,14,3,4,Mid-Value Fast Delivery Customers
170.03,2,4,27,14,3,4,Mid-Value Fast Delivery Customers
457.05,1,4,27,14,4,0,High-Value Customers (Delayed Shipping)
217.89,3,4,27,14,1,4,Mid-Value Fast Delivery Customers
68.96,2,4,27,14,5,4,Mid-Value Fast Delivery Customers
123.32,1,4,27,14,4,4,Mid-Value Fast Delivery Customers
44.28,1,4,27,14,1,4,Mid-Value Fast Delivery Customers
86.73,2,4,27,14,7,3,Low-Value Late-Season Buyers
216.11,1,4,27,14,2,4,Mid-Value Fast Delivery Customers
493.99,3,4,27,14,4,0,High-Value Customers (Delayed Shipping)
391.46,2,4,27,14,7,0,High-Value Customers (Delayed Shipping)
49.49,1,4,27,14,5,4,Mid-Value Fast Delivery Customers
51.69,1,4,27,14,1,4,Mid-Value Fast Delivery Customers
363.29,1,4,27,14,4,0,High-Value Customers (Delayed Shipping)
77.64,4,4,27,14,4,8,Heavy Bulk Buyers
192.58,2,4,27,14,4,4,Mid-Value Fast Delivery Customers
288.46,1,4,27,14,7,0,High-Value Customers (Delayed Shipping)
195.91,1,4,27,14,1,4,Mid-Value Fast Delivery Customers
198.63,3,4,27,14,6,0,High-Value Customers (Delayed Shipping)
266.54,3,4,27,14,2,4,Mid-Value Fast Delivery Customers
282.51,1,4,27,14,6,0,High-Value Customers (Delayed Shipping)
294.12,1,4,27,14,4,0,High-Value Customers (Delayed Shipping)
450.33,1,4,27,14,3,0,High-Value Customers (Delayed Shipping)
45.86,1,4,27,14,2,4,Mid-Value Fast Delivery Customers
362.3,1,4,27,14,7,0,High-Value Customers (Delayed Shipping)
361.31,1,4,27,14,4,0,High-Value Customers (Delayed Shipping)
60.56,3,4,27,14,3,4,Mid-Value Fast Delivery Customers
48.71,1,4,28,14,2,4,Mid-Value Fast Delivery Customers
50.7,1,4,28,14,7,3,Low-Value Late-Season Buyers
198.27,1,4,28,14,5,0,High-Value Customers (Delayed Shipping)
324.26,1,4,28,14,3,4,Mid-Value Fast Delivery Customers
382.89,1,4,28,14,3,0,High-Value Customers (Delayed Shipping)
441.98,1,4,28,14,3,0,High-Value Customers (Delayed Shipping)
313.99,2,4,28,14,1,4,Mid-Value Fast Delivery Customers
343.22,3,4,28,14,2,4,Mid-Value Fast Delivery Customers
201.19,1,4,28,14,3,4,Mid-Value Fast Delivery Customers
200.26,3,4,28,14,4,4,Mid-Value Fast Delivery Customers
12.61,3,4,28,14,7,3,Low-Value Late-Season Buyers
232.62,2,4,28,14,1,4,Mid-Value Fast Delivery Customers
268.66,2,4,28,14,6,0,High-Value Customers (Delayed Shipping)
286.93,4,4,28,14,2,8,Heavy Bulk Buyers
65.62,1,4,28,14,4,4,Mid-Value Fast Delivery Customers
333.79,2,4,28,14,2,4,Mid-Value Fast Delivery Customers
302.6,1,4,28,14,2,4,Mid-Value Fast Delivery Customers
131.84,4,4,28,14,2,8,Heavy Bulk Buyers
247.55,2,4,28,14,3,4,Mid-Value Fast Delivery Customers
368.59,2,4,28,14,5,0,High-Value Customers (Delayed Shipping)
243.51,1,4,28,14,2,4,Mid-Value Fast Delivery Customers
230.19,2,4,28,14,2,4,Mid-Value Fast Delivery Customers
375.22,2,4,28,14,7,0,High-Value Customers (Delayed Shipping)
385.79,2,4,28,14,7,0,High-Value Customers (Delayed Shipping)
435.55,5,4,28,14,1,8,Heavy Bulk Buyers
227.06,2,4,28,14,5,0,High-Value Customers (Delayed Shipping)
261.45,1,4,28,14,7,0,High-Value Customers (Delayed Shipping)
58.4,3,4,28,14,1,4,Mid-Value Fast Delivery Customers
315.99,3,4,28,14,2,4,Mid-Value Fast Delivery Customers
466.18,4,4,28,14,2,8,Heavy Bulk Buyers
364.29,1,4,28,14,1,4,Mid-Value Fast Delivery Customers
216.72,5,4,28,14,3,8,Heavy Bulk Buyers
62.75,2,4,29,14,3,4,Mid-Value Fast Delivery Customers
462.46,3,4,29,14,2,7,Premium Loyal Customers (Fast Shipping)
444.69,2,4,29,14,3,0,High-Value Customers (Delayed Shipping)
413.93,2,4,29,14,6,0,High-Value Customers (Delayed Shipping)
102.4,1,4,29,14,2,4,Mid-Value Fast Delivery Customers
391.78,3,4,29,14,7,0,High-Value Customers (Delayed Shipping)
321.53,2,4,29,14,5,0,High-Value Customers (Delayed Shipping)
343.45,2,4,29,14,7,0,High-Value Customers (Delayed Shipping)
105.56,4,4,29,14,7,8,Heavy Bulk Buyers
255.69,1,4,29,14,6,0,High-Value Customers (Delayed Shipping)
464.12,1,4,29,14,5,0,High-Value Customers (Delayed Shipping)
486.97,2,4,29,14,3,0,High-Value Customers (Delayed Shipping)
256.33,2,4,29,14,4,0,High-Value Customers (Delayed Shipping)
174.4,1,4,29,14,3,4,Mid-Value Fast Delivery Customers
422.0,3,4,29,14,2,7,Premium Loyal Customers (Fast Shipping)
371.29,1,4,29,14,1,4,Mid-Value Fast Delivery Customers
178.49,2,4,29,14,3,4,Mid-Value Fast Delivery Customers
451.48,2,4,29,14,1,7,Premium Loyal Customers (Fast Shipping)
14.98,2,4,29,14,1,4,Mid-Value Fast Delivery Customers
259.97,1,4,29,14,2,4,Mid-Value Fast Delivery Customers
132.59,4,4,29,14,1,8,Heavy Bulk Buyers
307.83,1,4,29,14,3,4,Mid-Value Fast Delivery Customers
472.38,2,4,29,14,4,0,High-Value Customers (Delayed Shipping)
152.96,3,4,29,14,7,0,High-Value Customers (Delayed Shipping)
150.8,1,4,29,14,3,4,Mid-Value Fast Delivery Customers
330.28,1,4,30,14,2,4,Mid-Value Fast Delivery Customers
253.14,4,4,30,14,4,8,Heavy Bulk Buyers
465.41,2,4,30,14,3,0,High-Value Customers (Delayed Shipping)
60.1,2,4,30,14,1,4,Mid-Value Fast Delivery Customers
329.21,2,4,30,14,1,4,Mid-Value Fast Delivery Customers
231.94,1,4,30,14,4,4,Mid-Value Fast Delivery Customers
415.34,2,4,30,14,6,0,High-Value Customers (Delayed Shipping)
185.59,2,4,30,14,4,4,Mid-Value Fast Delivery Customers
193.39,1,4,30,14,5,0,High-Value Customers (Delayed Shipping)
8.43,4,4,30,14,5,8,Heavy Bulk Buyers
345.97,3,4,30,14,5,0,High-Value Customers (Delayed Shipping)
499.85,1,4,30,14,6,0,High-Value Customers (Delayed Shipping)
397.35,2,4,30,14,5,0,High-Value Customers (Delayed Shipping)
349.21,2,4,30,14,5,0,High-Value Customers (Delayed Shipping)
142.41,3,4,30,14,1,4,Mid-Value Fast Delivery Customers
289.12,2,4,30,14,5,0,High-Value Customers (Delayed Shipping)
243.38,5,4,30,14,5,8,Heavy Bulk Buyers
93.72,1,4,30,14,6,3,Low-Value Late-Season Buyers
486.02,2,4,30,14,2,7,Premium Loyal Customers (Fast Shipping)
315.52,4,4,30,14,4,8,Heavy Bulk Buyers
228.6,1,4,30,14,3,4,Mid-Value Fast Delivery Customers
479.95,2,4,30,14,2,7,Premium Loyal Customers (Fast Shipping)
76.16,3,4,30,14,1,4,Mid-Value Fast Delivery Customers
347.83,1,4,30,14,1,4,Mid-Value Fast Delivery Customers
42.85,2,4,30,14,6,3,Low-Value Late-Season Buyers
114.12,1,4,30,14,1,4,Mid-Value Fast Delivery Customers
438.99,3,4,30,14,1,7,Premium Loyal Customers (Fast Shipping)
139.42,3,4,30,14,4,4,Mid-Value Fast Delivery Customers
172.7,1,4,30,14,3,4,Mid-Value Fast Delivery Customers
425.81,2,4,30,14,2,7,Premium Loyal Customers (Fast Shipping)
180.62,1,5,1,14,3,1,Low-Value Occasional Buyers
70.16,1,5,1,14,7,1,Low-Value Occasional Buyers
277.44,1,5,1,14,2,6,High-Value Fast Delivery Customers
361.95,1,5,1,14,5,5,Premium Customers (Delayed Shipping)
324.95,1,5,1,14,1,6,High-Value Fast Delivery Customers
493.0,1,5,1,14,2,6,High-Value Fast Delivery Customers
463.76,6,5,1,14,7,2,Bulk Buyers (High Quantity)
81.89,3,5,1,14,6,1,Low-Value Occasional Buyers
281.04,1,5,1,14,6,5,Premium Customers (Delayed Shipping)
218.93,3,5,1,14,7,1,Low-Value Occasional Buyers
17.79,4,5,1,14,5,1,Low-Value Occasional Buyers
84.43,3,5,1,14,2,9,Low-Value Fast Delivery Buyers
26.09,4,5,1,14,2,9,Low-Value Fast Delivery Buyers
82.53,1,5,1,14,5,1,Low-Value Occasional Buyers
199.74,3,5,1,14,7,1,Low-Value Occasional Buyers
492.32,1,5,1,14,5,6,High-Value Fast Delivery Customers
339.53,3,5,1,14,4,6,High-Value Fast Delivery Customers
378.22,1,5,1,14,5,5,Premium Customers (Delayed Shipping)
490.97,2,5,1,14,4,6,High-Value Fast Delivery Customers
493.85,3,5,1,14,6,2,Bulk Buyers (High Quantity)
404.05,1,5,1,14,7,5,Premium Customers (Delayed Shipping)
334.54,2,5,1,14,2,6,High-Value Fast Delivery Customers
419.05,1,5,1,14,6,5,Premium Customers (Delayed Shipping)
343.98,4,5,1,14,1,6,High-Value Fast Delivery Customers
64.53,1,5,1,14,3,1,Low-Value Occasional Buyers
234.85,2,5,1,14,5,1,Low-Value Occasional Buyers
92.95,2,5,1,14,7,1,Low-Value Occasional Buyers
384.55,5,5,1,14,5,2,Bulk Buyers (High Quantity)
322.23,1,5,1,14,5,5,Premium Customers (Delayed Shipping)
465.6,1,5,2,14,1,6,High-Value Fast Delivery Customers
37.91,2,5,2,14,1,9,Low-Value Fast Delivery Buyers
351.51,2,5,2,14,4,6,High-Value Fast Delivery Customers
261.06,3,5,2,14,7,1,Low-Value Occasional Buyers
81.04,2,5,2,14,5,1,Low-Value Occasional Buyers
321.49,1,5,2,14,4,6,High-Value Fast Delivery Customers
159.26,3,5,2,14,1,9,Low-Value Fast Delivery Buyers
185.35,1,5,2,14,2,9,Low-Value Fast Delivery Buyers
106.55,4,5,2,14,5,1,Low-Value Occasional Buyers
16.58,1,5,2,14,7,1,Low-Value Occasional Buyers
245.55,2,5,2,14,4,1,Low-Value Occasional Buyers
269.23,3,5,2,14,7,1,Low-Value Occasional Buyers
151.92,4,5,2,14,7,1,Low-Value Occasional Buyers
225.76,3,5,2,14,2,6,High-Value Fast Delivery Customers
83.09,2,5,2,14,1,9,Low-Value Fast Delivery Buyers
312.97,4,5,2,14,6,2,Bulk Buyers (High Quantity)
44.99,1,5,2,14,7,1,Low-Value Occasional Buyers
57.37,2,5,2,14,6,1,Low-Value Occasional Buyers
210.09,2,5,2,14,6,1,Low-Value Occasional Buyers
375.63,5,5,2,14,4,2,Bulk Buyers (High Quantity)
383.99,1,5,2,14,2,6,High-Value Fast Delivery Customers
222.02,1,5,2,14,5,1,Low-Value Occasional Buyers
350.11,4,5,2,14,2,6,High-Value Fast Delivery Customers
473.22,1,5,2,14,4,6,High-Value Fast Delivery Customers
475.66,6,5,2,14,6,2,Bulk Buyers (High Quantity)
48.49,1,5,2,14,4,1,Low-Value Occasional Buyers
21.89,1,5,2,14,4,1,Low-Value Occasional Buyers
99.24,3,5,2,14,1,9,Low-Value Fast Delivery Buyers
247.84,1,5,2,14,2,6,High-Value Fast Delivery Customers
262.65,2,5,2,14,4,1,Low-Value Occasional Buyers
375.09,1,5,2,14,6,5,Premium Customers (Delayed Shipping)
120.0,2,5,2,14,1,9,Low-Value Fast Delivery Buyers
30.36,3,5,3,14,4,1,Low-Value Occasional Buyers
331.09,1,5,3,14,1,6,High-Value Fast Delivery Customers
296.82,4,5,3,14,6,2,Bulk Buyers (High Quantity)
138.28,3,5,3,14,3,1,Low-Value Occasional Buyers
442.85,5,5,3,14,3,2,Bulk Buyers (High Quantity)
393.06,1,5,3,14,5,5,Premium Customers (Delayed Shipping)
444.64,2,5,3,14,5,6,High-Value Fast Delivery Customers
448.15,1,5,3,14,3,6,High-Value Fast Delivery Customers
348.59,2,5,3,14,4,6,High-Value Fast Delivery Customers
84.81,2,5,3,14,3,1,Low-Value Occasional Buyers
169.06,3,5,3,14,4,1,Low-Value Occasional Buyers
153.47,1,5,3,14,3,1,Low-Value Occasional Buyers
457.68,1,5,3,14,2,6,High-Value Fast Delivery Customers
425.23,3,5,3,14,2,6,High-Value Fast Delivery Customers
324.45,1,5,3,14,1,6,High-Value Fast Delivery Customers
248.42,3,5,3,14,5,1,Low-Value Occasional Buyers
82.38,3,5,3,14,3,1,Low-Value Occasional Buyers
7.88,1,5,3,14,4,1,Low-Value Occasional Buyers
449.96,2,5,3,14,1,6,High-Value Fast Delivery Customers
225.43,2,5,3,14,4,1,Low-Value Occasional Buyers
348.81,1,5,3,14,4,6,High-Value Fast Delivery Customers
275.24,2,5,3,14,1,6,High-Value Fast Delivery Customers
459.46,1,5,3,14,5,5,Premium Customers (Delayed Shipping)
59.63,2,5,3,14,6,1,Low-Value Occasional Buyers
387.44,1,5,3,14,3,6,High-Value Fast Delivery Customers
421.91,3,5,3,14,4,6,High-Value Fast Delivery Customers
434.77,1,5,4,14,2,6,High-Value Fast Delivery Customers
343.96,1,5,4,14,7,5,Premium Customers (Delayed Shipping)
265.92,2,5,4,14,1,6,High-Value Fast Delivery Customers
106.53,5,5,4,14,6,8,Heavy Bulk Buyers
